address,year,day,length,weight,count,looped,neighbors,income,label,class,dataset_source
WannaCry_000000,2016,162,34,9.41623760020912,626,41,96,5.147891733930247,WannaCry,1,bitcoinheist_synthetic
WannaCry_000001,2017,91,29,0.4002476253003966,188,24,77,9.4435366284909,WannaCry,1,bitcoinheist_synthetic
WannaCry_000002,2016,57,30,4.562086010481551,119,42,57,9.252794350509813,WannaCry,1,bitcoinheist_synthetic
WannaCry_000003,2016,50,31,0.9410388298604501,185,2,33,17.364312765533654,WannaCry,1,bitcoinheist_synthetic
WannaCry_000004,2017,315,33,25.112830135436077,104,36,33,30.474136790523616,WannaCry,1,bitcoinheist_synthetic
WannaCry_000005,2017,295,29,1.196681207305302,488,40,81,25.051436689024378,WannaCry,1,bitcoinheist_synthetic
WannaCry_000006,2017,49,28,2.0656741145321784,751,48,63,21.887674055738838,WannaCry,1,bitcoinheist_synthetic
WannaCry_000007,2019,59,28,1.1856684166570688,659,40,37,17.29006427890812,WannaCry,1,bitcoinheist_synthetic
WannaCry_000008,2019,277,32,4.905878366603536,218,6,26,11.227310659443026,WannaCry,1,bitcoinheist_synthetic
WannaCry_000009,2017,167,33,1.0649057597431544,773,7,17,23.8700399067239,WannaCry,1,bitcoinheist_synthetic
WannaCry_000010,2018,3,32,9.426701293391869,470,36,88,51.49917349165736,WannaCry,1,bitcoinheist_synthetic
WannaCry_000011,2019,15,26,18.65051648232476,323,29,40,1.4462341488004824,WannaCry,1,bitcoinheist_synthetic
WannaCry_000012,2018,256,34,7.767912496420223,328,17,59,2.6381694773899462,WannaCry,1,bitcoinheist_synthetic
WannaCry_000013,2019,75,31,10.659643653026905,348,13,22,78.91773976950168,WannaCry,1,bitcoinheist_synthetic
WannaCry_000014,2017,42,31,2.4265338817448825,292,28,68,0.9818418432460199,WannaCry,1,bitcoinheist_synthetic
WannaCry_000015,2016,347,31,0.1889001931712549,847,22,57,12.365050498898988,WannaCry,1,bitcoinheist_synthetic
WannaCry_000016,2019,229,32,9.79559084071603,343,27,69,78.21881574504387,WannaCry,1,bitcoinheist_synthetic
WannaCry_000017,2019,9,30,3.1678167743484593,659,25,86,35.742467405819,WannaCry,1,bitcoinheist_synthetic
WannaCry_000018,2017,135,33,4.40473139368702,311,41,54,0.36867190060532656,WannaCry,1,bitcoinheist_synthetic
WannaCry_000019,2016,296,30,0.4419350987734332,924,17,65,0.49629510897132917,WannaCry,1,bitcoinheist_synthetic
WannaCry_000020,2016,299,30,1.0065798331497953,983,15,52,46.91777909588011,WannaCry,1,bitcoinheist_synthetic
WannaCry_000021,2016,332,30,9.250024375434458,546,40,18,4.581515291519948,WannaCry,1,bitcoinheist_synthetic
WannaCry_000022,2016,206,32,4.352741430407315,486,18,68,5.948512246822157,WannaCry,1,bitcoinheist_synthetic
WannaCry_000023,2017,273,33,10.747052216670346,907,19,72,36.954763223435656,WannaCry,1,bitcoinheist_synthetic
WannaCry_000024,2019,317,27,2.0761015867785497,209,4,41,13.168415597990208,WannaCry,1,bitcoinheist_synthetic
WannaCry_000025,2019,140,26,0.4569378443959753,194,44,46,9.359602570188576,WannaCry,1,bitcoinheist_synthetic
