address,category,total_received,total_sent,balance,n_tx,first_tx,last_tx,is_suspicious,dataset_source
darknet_market_000000,Darknet Market,26.968425966041252,1.0001294759740542,0.2632217910019717,271,2017-03-02,2020-02-22,1,suspicious_wallets_synthetic
darknet_market_000001,Darknet Market,54.21866055565715,2.9966644068631894,0.07964582135379769,3492,2017-05-23,2020-12-21,1,suspicious_wallets_synthetic
darknet_market_000002,Darknet Market,5.0051182031700305,3.199243763768503,3.524023631329415,1236,2017-06-25,2020-01-10,1,suspicious_wallets_synthetic
darknet_market_000003,Darknet Market,12.544677881824445,11.37038596204191,0.7635154080169331,9086,2017-01-12,2020-05-08,1,suspicious_wallets_synthetic
darknet_market_000004,Darknet Market,13.55314229737045,39.02487902666968,0.9775888560724054,261,2017-09-11,2020-06-04,1,suspicious_wallets_synthetic
darknet_market_000005,Darknet Market,17.512249699933502,43.58191058244818,0.04132004194869426,6432,2017-11-14,2020-10-18,1,suspicious_wallets_synthetic
darknet_market_000006,Darknet Market,4.372654952456963,17.842872541906765,1.0276902980336866,2249,2017-06-17,2020-05-08,1,suspicious_wallets_synthetic
darknet_market_000007,Darknet Market,63.95635362432349,0.0007161621012886739,0.3511473975494149,298,2017-06-20,2020-02-07,1,suspicious_wallets_synthetic
darknet_market_000008,Darknet Market,43.07470106705805,1.9294560765324125,1.4011439498231242,818,2017-12-25,2020-06-21,1,suspicious_wallets_synthetic
darknet_market_000009,Darknet Market,17.65891114679343,50.601781561549444,0.6854372951922191,1633,2017-08-19,2020-11-04,1,suspicious_wallets_synthetic
darknet_market_000010,Darknet Market,111.48539817897469,22.88497146063257,0.5902998914679282,6404,2017-07-01,2020-01-26,1,suspicious_wallets_synthetic
darknet_market_000011,Darknet Market,4.230630197898518,18.55361752491551,0.15307461257361937,7885,2017-06-18,2020-02-17,1,suspicious_wallets_synthetic
darknet_market_000012,Darknet Market,8.236759211321642,9.480303164050135,2.393423750565147,8180,2017-02-01,2020-07-28,1,suspicious_wallets_synthetic
darknet_market_000013,Darknet Market,41.36368451339934,0.03883196191309375,2.6234508365648344,4637,2017-03-10,2020-05-22,1,suspicious_wallets_synthetic
darknet_market_000014,Darknet Market,74.16273940918407,5.374193375985609,0.10458896883888674,7725,2017-01-27,2020-04-03,1,suspicious_wallets_synthetic
darknet_market_000015,Darknet Market,32.65266210254942,1.3600725113957162,0.82534626299332,941,2017-03-13,2020-07-20,1,suspicious_wallets_synthetic
darknet_market_000016,Darknet Market,53.217351645804676,16.72960218863291,0.4083425908262686,3432,2017-09-12,2020-03-06,1,suspicious_wallets_synthetic
