txId,time_step,amount,fee,input_count,output_count,total_received,total_sent,balance,transaction_count,class,dataset_source
tx_000000,38,0.08683026224593685,0.0042008355439780145,2,6,6.689493660768117,0.9369232047546028,0.4492182889526309,91,0,elliptic_synthetic
tx_000001,47,1.1885773607950996,0.000427040755888181,3,1,0.36820104813652965,1.4105427726620894,0.6484110926966767,33,0,elliptic_synthetic
tx_000002,44,0.30582801681178806,0.0013166330283401455,1,3,0.059453772298935365,2.347585966727828,0.003869333869327367,78,0,elliptic_synthetic
tx_000003,42,0.9659266728303166,6.343853617167743e-05,4,3,2.477608952716272,2.187648275949659,0.16163834709819325,94,0,elliptic_synthetic
tx_000004,41,0.16700085062769024,0.00016237070028991604,4,5,0.4153671781831341,1.7686761705467975,0.2056806644986072,28,0,elliptic_synthetic
tx_000005,3,0.14058706745168323,0.0001416686980795685,2,5,2.5900327249906008,1.7036117865793161,0.12965009945736936,62,0,elliptic_synthetic
tx_000006,46,0.26667829387194625,0.00025363478062771474,1,7,0.4986184927614409,0.7046187104841954,0.30888356019304897,8,0,elliptic_synthetic
tx_000007,47,0.8475024243134612,0.0017102534802183294,4,2,1.0646213623593708,0.03221500680579165,0.3642285700434679,23,0,elliptic_synthetic
tx_000008,16,0.4577943136515738,0.0003512634614610381,4,1,5.602161619920064,2.2938373034821313,0.23135785024573002,45,0,elliptic_synthetic
tx_000009,44,0.1153208962879844,0.00190132821926427,4,1,1.591486381864678,0.7607314931706718,0.20208423581008703,39,0,elliptic_synthetic
tx_000010,3,0.05336671508653793,0.00044501468568464636,1,6,2.253422499323785,0.21543073821925435,0.0863739852356396,27,0,elliptic_synthetic
tx_000011,17,0.3492807585770244,2.4655079767611377e-05,3,4,0.6338998237702612,2.98744797990608,0.5214553961389399,67,0,elliptic_synthetic
tx_000012,16,0.17655753789470305,0.00019353713799120679,2,1,0.24076784816586214,1.3007979253036126,0.5791212410521392,18,0,elliptic_synthetic
tx_000013,21,0.04437525700360858,0.0018806680472691526,2,5,0.9115848589702886,0.21498798090150464,0.15556348707089127,95,0,elliptic_synthetic
tx_000014,18,0.18215577871058525,0.0005840049117176819,1,3,0.509219586457387,0.7545867913073273,0.541287591797156,92,0,elliptic_synthetic
tx_000015,8,0.5821039084799352,0.0004075252384520175,3,5,0.5050641020988604,1.8956292104141654,0.06217121201152251,1,0,elliptic_synthetic
tx_000016,42,0.5869651527925993,7.187833472990703e-05,1,3,1.0734714186414702,0.895316173365242,0.04479455833764893,55,0,elliptic_synthetic
tx_000017,33,0.6731821454926009,0.001219527843661696,1,6,2.8572269378501907,2.819391841509655,0.08010313453477401,50,0,elliptic_synthetic
tx_000018,21,0.07319745680413393,4.119383412783502e-05,4,4,3.102466082554387,1.681052938847614,0.46114453468609445,84,0,elliptic_synthetic
